,cod_nf,cod_prod,cpf_c,email_c,contato_c,valor,quantidade
224,0000000224,SKU00565,196.617.941-38,mmarleneisabelpeixoto@yahoo.ca,98227-4456,R$ 92,93
225,0000000225,SKU00306,051.050.293-80,mateusandersondasneves__mateusandersondasneves@negocios-de-valor.com,98966-2945,R$ 77,94
226,0000000226,SKU00123,229.201.266-95,beatrizcarolineribeiro__beatrizcarolineribeiro@camilapassos.com.br,98691-6299,R$ 83,53
227,0000000227,SKU00759,462.342.653-08,bbeneditaagathareginacampos@omnibrasil.com.br,98991-9763,R$ 53,89
228,0000000228,SKU00159,350.798.326-57,tatianebrendasophiajesus..tatianebrendasophiajesus@profemme.com.br,98941-0140,R$ 83,97
229,0000000229,SKU00127,110.433.510-78,rafaelaisisantonellacaldeira__rafaelaisisantonellacaldeira@projetemovelaria.com.br,99678-6593,R$ 74,93
230,0000000230,SKU00122,837.478.262-53,calebhenriquerodrigues..calebhenriquerodrigues@agacapital.com.br,98254-9981,R$ 76,78
231,0000000231,SKU00159,094.780.013-10,stefanyhadassasales_@orbisat.com.br,98981-2912,R$ 84,65
232,0000000232,SKU00049,644.984.146-08,leticiaheloisajoanasales__leticiaheloisajoanasales@mavex.com.br,98144-0476,R$ 97,91
233,0000000233,SKU00439,539.947.816-12,terezastellalaviniasouza_@2registrocivil.com.br,99861-3401,R$ 51,63
234,0000000234,SKU00291,392.521.070-96,carlosbentosouza__carlosbentosouza@schon.com.br,99612-9591,R$ 53,79
235,0000000235,SKU00744,733.022.372-78,simonemarlenesuelidacunha__simonemarlenesuelidacunha@gruposantin.com.br,99653-7473,R$ 50,83
236,0000000236,SKU00469,533.197.263-23,elisasophiafranciscadasneves__elisasophiafranciscadasneves@andrade.com,99247-2442,R$ 73,59
237,0000000237,SKU00215,836.037.944-00,gaeljosedamota..gaeljosedamota@zootecnista.com.br,98726-4489,R$ 99,88
238,0000000238,SKU00353,173.328.216-56,eliassebastiaocaiocarvalho__eliassebastiaocaiocarvalho@babo.adv.br,99519-3400,R$ 57,53
239,0000000239,SKU00009,607.449.899-73,marcelocesardaconceicao_@emitec.com.br,99122-4590,R$ 82,67
240,0000000240,SKU00034,632.766.546-28,camilaemanuellyrosangelagomes_@eccofibra.com.br,98102-3287,R$ 98,91
241,0000000241,SKU00357,970.918.690-60,patricialeticianovaes-70@yahooo.com.br,99704-1519,R$ 58,53
242,0000000242,SKU00667,125.255.109-68,marianemaitejessicadaconceicao..marianemaitejessicadaconceicao@zipmail.com.br,98663-1374,R$ 76,81
243,0000000243,SKU00666,164.417.198-86,rraulemanuelmoura@structureesquadrias.com.br,99592-2005,R$ 96,68
244,0000000244,SKU00326,092.566.286-00,fatimahadassabiancacastro_@oul.com.br,98439-7336,R$ 98,57
245,0000000245,SKU00549,930.592.547-29,sabrinareginamirelladacosta_@soulcomunicacao.com.br,98651-0342,R$ 60,86
246,0000000246,SKU00096,953.152.062-38,henryfilipebenjaminmonteiro__henryfilipebenjaminmonteiro@hidrara.com.br,98686-9843,R$ 68,94
247,0000000247,SKU00741,429.537.399-04,elianejuliabernardes_@damataemporionatural.com.br,98848-1588,R$ 92,63
248,0000000248,SKU00444,882.724.556-17,marcosthomasaraujo..marcosthomasaraujo@alesalvatori.com,99901-0599,R$ 94,64
249,0000000249,SKU00177,031.853.997-73,luanbenjaminosvaldodacunha..luanbenjaminosvaldodacunha@somma.net.br,98914-7950,R$ 54,62
250,0000000250,SKU00025,289.277.887-53,marioleandrobeneditomelo__marioleandrobeneditomelo@br.pwc.com,99878-5238,R$ 67,67
251,0000000251,SKU00741,720.790.936-57,luccacaioduarte-87@igly.com.br,99128-0118,R$ 92,64
252,0000000252,SKU00287,876.071.335-69,larissajulianamariahbarros..larissajulianamariahbarros@eberlin.agr.br,99736-2198,R$ 54,97
253,0000000253,SKU00300,730.694.990-07,heloisamariahduarte__heloisamariahduarte@alesalvatori.com,99255-5664,R$ 58,67
254,0000000254,SKU00634,957.317.910-58,andrecarloseduardoalves-88@vigaconstrucao.com.br,99727-0598,R$ 91,50
255,0000000255,SKU00322,157.174.258-13,nataliaantonellacaldeira-79@accor.com.br,99325-5223,R$ 88,85
256,0000000256,SKU00153,648.768.090-70,paulovictorbrenocortereal-75@detorsul.com,98132-7734,R$ 73,60
257,0000000257,SKU00763,174.986.156-90,sophiajoanarosangelafigueiredo-91@gmx.com,98392-2210,R$ 95,95
258,0000000258,SKU00067,707.853.505-78,joaotiagoporto-85@righettorosa.com.br,98744-4914,R$ 89,80
259,0000000259,SKU00322,806.339.433-04,ssimonealanaferreira@usa.com,98580-2843,R$ 70,75
260,0000000260,SKU00670,056.791.981-18,matheusmarciomateusdarosa_@radicigroup.com,99244-3067,R$ 87,59
261,0000000261,SKU00659,261.708.415-91,emilymarciadacruz_@riguetti.com.br,98496-3099,R$ 71,78
262,0000000262,SKU00980,288.134.052-00,aallanaveraemilybarros@lidertel.com.br,98420-8177,R$ 72,67
263,0000000263,SKU00857,994.916.537-76,bbentotheobenjaminlopes@transporteveloz.com.br,99164-2631,R$ 79,77
264,0000000264,SKU00442,181.494.030-86,stefanymelissacarladapaz__stefanymelissacarladapaz@bcconsult.com.br,99617-3223,R$ 63,97
265,0000000265,SKU00065,313.836.540-00,fabianataniapires-72@estevao.ind.br,98485-5802,R$ 63,76
266,0000000266,SKU00901,448.270.953-02,fernandofabiofelipenunes_@ogn.com.br,99538-9970,R$ 88,86
267,0000000267,SKU00176,683.933.587-95,kauefelipebrenolopes-75@myself.com,99886-7433,R$ 87,85
268,0000000268,SKU00127,092.886.134-12,lorenaraimundamendes_@yahho.com.br,98289-3030,R$ 76,95
269,0000000269,SKU00775,353.493.944-10,flaviapriscilaferreira..flaviapriscilaferreira@lognat.com.br,98238-5711,R$ 60,78
270,0000000270,SKU00921,195.214.977-00,gustavorobertoluanpeixoto..gustavorobertoluanpeixoto@publicarbrasil.com.br,98995-8849,R$ 66,90
271,0000000271,SKU00243,954.966.227-60,rraquelolivianinarocha@siemens.com,99713-7809,R$ 88,92
272,0000000272,SKU00457,602.590.214-31,raimundothomascastro_@meiryjoias.com.br,98845-6686,R$ 79,89
273,0000000273,SKU00214,645.380.434-43,sebastiaomatheusnathanmendes..sebastiaomatheusnathanmendes@gmx.com,99538-3261,R$ 78,75
274,0000000274,SKU00827,155.869.279-77,benjamineliascarloseduardogomes_@bluespropaganda.com,98194-9731,R$ 94,57
275,0000000275,SKU00548,580.847.040-44,estereduardamilenaporto..estereduardamilenaporto@daou.com.br,98663-6140,R$ 97,60
276,0000000276,SKU00121,936.781.369-40,bbarbaragabrielavalentinapeixoto@hotmail.co.jp,98618-4993,R$ 56,81
277,0000000277,SKU00252,394.672.308-01,daianeheloisaribeiro..daianeheloisaribeiro@hawk.com.br,99175-1893,R$ 52,53
278,0000000278,SKU00274,982.371.929-23,antoniocauegeraldomonteiro-86@stembalagens.com.br,98506-4271,R$ 90,60
279,0000000279,SKU00123,246.401.880-56,agathagiovannacarolinadamata_@msaengenharia.com.br,99794-8819,R$ 71,69
280,0000000280,SKU00361,802.824.044-57,nnoahnathansouza@hotmail.de,98345-6742,R$ 77,65
281,0000000281,SKU00227,478.043.073-90,danielakamillylaisvieira-89@grupova.com.br,99457-0478,R$ 98,54
282,0000000282,SKU00710,317.193.519-88,iiagoheitorbrunosantos@mrarquitetura.com.br,99520-4739,R$ 56,59
283,0000000283,SKU00878,158.806.316-05,marioluizbentosilva__marioluizbentosilva@foxtech.com.br,98791-1800,R$ 60,66
284,0000000284,SKU00281,044.676.478-72,tomashenrycesarbaptista-70@grupoannaprado.com.br,99439-9976,R$ 55,96
285,0000000285,SKU00305,791.665.746-50,iankevinmiguelsilva-75@konekoshouten.com.br,98113-8864,R$ 55,77
286,0000000286,SKU00284,976.392.712-90,tatianeelianeteresinhamoreira-97@aliancacadeiras.com.br,98785-2709,R$ 79,77
287,0000000287,SKU00251,497.127.531-23,renatareginacarolinadaconceicao__renatareginacarolinadaconceicao@itatiaia.net,99895-9209,R$ 59,96
288,0000000288,SKU00490,126.242.448-83,rraimundoenricoedsondaconceicao@gdsambiental.com.br,99648-1037,R$ 87,88
289,0000000289,SKU00879,584.243.367-20,daianeantonelladamota_@meiryjoias.com.br,98790-5064,R$ 92,99
290,0000000290,SKU00324,926.510.787-19,antonellaanaramos_@metroquali.com.br,99878-7980,R$ 54,84
291,0000000291,SKU00820,531.532.312-90,esterstefanyevelynalves..esterstefanyevelynalves@lineubravo.com.br,98402-4921,R$ 72,95
292,0000000292,SKU00072,075.625.506-62,robertodanielbeneditomonteiro__robertodanielbeneditomonteiro@regional.com.br,98667-0265,R$ 55,100
293,0000000293,SKU00904,286.322.426-36,anajosefamarlenemelo-74@phocus.com.br,99451-1848,R$ 51,90
294,0000000294,SKU00348,694.344.164-77,marlijulianascimento-70@redhouse.com.br,98854-2808,R$ 90,74
295,0000000295,SKU00642,383.591.035-34,verasarahcampos-97@novotempo.org.br,99988-1829,R$ 50,55
296,0000000296,SKU00265,901.538.457-67,pietroheitorcarvalho..pietroheitorcarvalho@droganews.com.br,98123-3378,R$ 57,50
297,0000000297,SKU00692,190.243.073-50,marlimarianasarahbaptista__marlimarianasarahbaptista@navescorat.com.br,99564-9460,R$ 54,66
298,0000000298,SKU00800,551.141.998-20,gabriellybeatrizeduardadaconceicao..gabriellybeatrizeduardadaconceicao@azevedoalves.com.br,98567-7399,R$ 57,98
299,0000000299,SKU00577,775.595.024-74,kevinoliverraimundofarias_@smbcontabil.com.br,98196-5566,R$ 77,93
